VARIABLE: MSC01.ZT8.107:COUNTS
SINGLE COLUMN CONTINUOUS
DataType: NUMERIC
Unit: count
Description: CHARM SEC1 counts per spill

Timestamp (LOCAL_TIME),Value
2015-06-26 08:37:11.500,15143
2015-06-26 08:37:30.700,15371
2015-06-26 08:37:37.900,15602
2015-06-26 08:37:48.700,15710
2015-06-26 08:38:03.100,14986
2015-06-26 08:38:22.300,14268
2015-06-26 08:38:29.500,15408
2015-06-26 08:38:40.300,14730
2015-06-26 08:38:54.700,15136
2015-06-26 08:39:13.900,14528
2015-06-26 08:39:21.100,14730
2015-06-26 08:39:31.900,15449
2015-06-26 08:39:46.300,15122
2015-06-26 08:40:05.500,14074
2015-06-26 08:40:12.700,15098
2015-06-26 08:40:23.500,14886
2015-06-26 08:40:37.900,15174
2015-06-26 08:40:57.100,13981
2015-06-26 08:41:04.300,14669
2015-06-26 08:41:15.100,14996
2015-06-26 08:41:29.500,14924
2015-06-26 08:41:48.700,14342
2015-06-26 08:41:55.900,15279
2015-06-26 08:42:06.700,14483
2015-06-26 08:42:21.100,14838
2015-06-26 08:42:40.300,14027
2015-06-26 08:42:47.500,15236
2015-06-26 08:42:58.300,15396
2015-06-26 08:43:12.700,15001
2015-06-26 08:43:31.900,14203
2015-06-26 08:43:39.100,15128
2015-06-26 08:43:49.900,14911
2015-06-26 08:44:04.300,15247
2015-06-26 08:44:23.500,13958
2015-06-26 08:44:30.700,15294
2015-06-26 08:44:41.500,15226
2015-06-26 08:44:55.900,15030
2015-06-26 08:45:15.100,14487
2015-06-26 08:45:22.300,14924
2015-06-26 08:45:33.100,15136
2015-06-26 08:45:47.500,15307
2015-06-26 08:46:06.700,14003
2015-06-26 08:46:13.900,15090
2015-06-26 08:46:24.700,15064
2015-06-26 08:46:39.100,15736
2015-06-26 08:46:58.300,14428
2015-06-26 08:47:05.500,15300
2015-06-26 08:47:16.300,15349
2015-06-26 08:47:30.700,15010
2015-06-26 08:47:49.900,14260
2015-06-26 08:47:57.100,14848
2015-06-26 08:48:07.900,15193
2015-06-26 08:48:22.300,14990
2015-06-26 08:48:41.500,14665
2015-06-26 08:48:48.700,14896
2015-06-26 08:48:59.500,15047
2015-06-26 08:49:13.900,15461
2015-06-26 08:49:33.100,14185
2015-06-26 08:49:40.300,15080
2015-06-26 08:49:51.100,14961
2015-06-26 08:50:05.500,15442
2015-06-26 08:50:24.700,14310
2015-06-26 08:50:31.900,14835
2015-06-26 08:50:42.700,15103
2015-06-26 08:50:57.100,15339
2015-06-26 08:51:16.300,14459
2015-06-26 08:51:23.500,15163
2015-06-26 08:51:34.300,15334
2015-06-26 08:51:48.700,14750
2015-06-26 08:52:07.900,14420
2015-06-26 08:52:15.100,15053
2015-06-26 08:52:25.900,14841
2015-06-26 08:52:40.300,15127
